,Amount,Average,Community_ID,Deviation,Drawee,Exporter,Frequency,Linkage
0,1623858.58,1623858.58,0,,TYRE TRADIMG INTERNATIONAL,IMPERIAL STEEL,1,0
1,4079802.89,4079802.89,0,,TYRE TRADIMG INTERNATIONAL,MONTSAL DYNAMIC PVT LTD,1,0
2,7010292.99,7010292.99,1,, 4 CSRL,GULFRAZ FABRICS,1,0
3,10798143.12,10798143.12,1,, 4 CSRL,SHERCOTEX,1,1
4,298773882.1,6495084.393,3,3591445.747,UHL SPORT GMBH,RAJCO INDUSTRIES,46,0
5,12530192.08,2506038.416,3,1704594.107,UHL SPORT GMBH,VISION TECHNOLOGIES CORPORATION(PVT,5,0
6,30692359.25,1615387.329,4,1489830.955,WEISSENGRUBER TEXTIL GES,ASHAR INTERNATIONAL PVT LTD,19,0
7,36729737.18,1412682.199,4,1241774.349,WEISSENGRUBER TEXTIL GES,HUSSAIN HOME TEXTILE,26,0
8,10535788.45,10535788.45,5,, CAMARA ARROSSERA DEL MONTSIA,MATCO FOOD (PVT) LIMITED,1,0
9,7984964.55,7984964.55,5,, CAMARA ARROSSERA DEL MONTSIA,NOBEL FOODS PRIVATE LIMITED,1,0
10,615690.38,615690.38,6,,TURKEY CREEK TRADING CO,HILBRO INTT PVT LTD,1,0
11,1043637.37,1043637.37,1,,TROIANO SRL,HBR TEXTILE INDUSTRIES,1,0
12,1000837.59,1000837.59,1,,TROIANO SRL,M S SOUTH ASIAN TEXTILE INDUSTRIES,1,0
13,16960492.59,3392098.518,7,1126149.402,VSB IMPORT EXPORT,IDEAL ENTERPRISES N GEN.ORDER.SUPP.,5,0
14,2324514.93,2324514.93,8,, HARMS IMPORT AND VERTRIEBS,EUROTEX,1,0
15,4238349.68,2119174.84,8,2142.22242, HARMS IMPORT AND VERTRIEBS,M.HASSAN DIN & SONS,2,1
16,9224265.6,2306066.4,9,1875411.12, HERB'S INTERNATIONAL SERVICE,FAZAL   CO,4,0
17,13515645.53,1930806.504,9,1267268.51, HERB'S INTERNATIONAL SERVICE,M. HUSSAIN & CO.,7,0
18,1475770.34,1475770.34,10,,TGI CORPORATION,RAZA APPARELS,1,0
19,5621060.96,2810530.48,10,1123023.638,TGI CORPORATION,SHAFI EXPORTS,2,0
20,15568460.5,3892115.125,2,608875.2563,TH KOUKOULIS AND CO,CHAWALA ENTERPRISES,4,0
21,912300.48,912300.48,2,,TH KOUKOULIS AND CO,ROY TEXTILES,1,0
22,7337484,7337484,1,,WARDAH AHMED WAHBAN EST,ALI TEXTILES,1,0
23,3264132.17,3264132.17,1,,WARDAH AHMED WAHBAN EST,KAMRAN TEXTILES PVT LTD,1,0
24,3068745.45,1534372.725,11,17492.2732, BOBBY TRADING CO,M/S NEW RAJA COMMISSION SHOP,2,0
25,1319069.98,1319069.98,11,, BOBBY TRADING CO,SOOFI TRADERS,1,0
26,7618619.7,7618619.7,12,,WEIDMANN GMBH,NAVEENA INDUSTRIES,1,1
27,7048977.27,3524488.635,12,3142270.325,WEIDMANN GMBH,PROSPERITY WEAVING MILLS LTD.,2,0
28,37011109.96,4112345.551,8,974218.6443, A AND B WIPER SUPPLY INC,FATIMA WEAVING MILLS PVT LTD,9,0
29,3772426.94,3772426.94,8,, A AND B WIPER SUPPLY INC,ZULFIQAR WEAVING & TOWEL,1,0
30,13301810.28,13301810.28,14,, HAMADI MWINYI,AWAMI AGRO COMMODITIES,1,0
31,58244948,19414982.67,14,6557943.672, HAMADI MWINYI,BABA ENTERPRISES,3,0
32,1540056.13,770028.065,4,615803.4495,ZXY INTERNATIONAL FZCO,KAY & EMMS PVT.LTD.,2,0
33,7651.95,7651.95,4,,ZXY INTERNATIONAL FZCO,VIP WEARS,1,0
34,8423168.67,2105792.168,15,1003495.419,TEXTILE ICON LTD,CHAWALA ENTERPRISES,4,1
35,2652865.52,1326432.76,15,167124.6029,TEXTILE ICON LTD,LEGACY TEXTILES,2,0
36,810496512,12865024,15,3328498.888,SUENO FUEGUINO SA,AL BARKA FABRICS  PVT  LTD,63,1
37,80351992.74,16070398.55,15,5772821.945,SUENO FUEGUINO SA,BISMILLAH TEXTILE MILLS LIMITED,5,0
38,6407170.69,6407170.69,5,, LULU HYPERMARKET LLC,HUSSAIN HOME TEXTILE,1,1
39,11640268.48,5820134.24,5,1437782.93, LULU HYPERMARKET LLC,MATCO FOOD (PVT) LIMITED,2,0
40,499424.8,499424.8,0,,STUDELL HOLDINGS PTY LTD T/A BOTANI,IMPERIAL STEEL,1,0
41,414148.56,414148.56,0,,STUDELL HOLDINGS PTY LTD T/A BOTANI,REHBAR MAJEED TEXTILES PVT LTD,1,0
42,545028.31,181676.1033,16,83118.04025,TEXTILEMART INC,M S  OPULENT INTERNATIONAL,3,0
43,4157418.43,4157418.43,16,,TEXTILEMART INC,ZURASH INDUSTRIES PVT LTD.,1,0
44,2283844.31,1141922.155,4,1254699.656, EKKELBOOM BV,KAUSAR PROCESSING IND PVT LTD,2,1
45,3495848.86,1747924.43,4,1759115.162, EKKELBOOM BV,RAINBOW INDUSTRIES,2,0
46,4571986.28,4571986.28,17,, HEEFA HASSAIN AL LAHYANIAL JAMU,M S KHOKHAR ENTERPRISES,1,0
47,76207832.09,5080522.139,17,2723965.025, HEEFA HASSAIN AL LAHYANIAL JAMU,MANSHA KHAN LEATHER MERCHANT,15,0
48,1184830.71,1184830.71,18,, ITALEATHER COMERCIO DE PELES,LEADER TANNERIES,1,0
49,4336741.82,1084185.455,18,273864.1266, ITALEATHER COMERCIO DE PELES,MUHAMMAD ASHRAF AND SONS,4,0
50,1123997.73,374665.91,19,296526.4897, AHMED FOODS INTERNATIONAL,AISHA CORPORATION,3,0
51,1716782.56,343356.512,19,125133.0596, AHMED FOODS INTERNATIONAL,MALTA AUTO INDUSTRIES PVT LTD,5,0
52,1793490.73,1793490.73,0,,THUA HENG IMPORT EXPORT SDN BHD,LUCKY GLOBAL COMMODITIES,1,0
53,22124277.33,2458253.037,8,789209.4014,TEN KATE TEXTIEL BV,EUROTEX,9,0
54,13128428.37,2188071.395,8,1017290.157,TEN KATE TEXTIEL BV,UNITY HOME COLLECTIONS,6,0
55,9933555.32,3311185.107,1,1301155.314,WITTON SHOES LTD,ARD INDUSTRIES,3,0
56,25682364.69,2853596.077,1,901876.1208,WITTON SHOES LTD,ASAMA ENTERPRISES,9,0
57,133856.67,133856.67,20,,TENACIOUS VENTURES DBA ALIFESTYLE,HIMALAYAN IMPEX,1,0
58,133856.67,133856.67,20,,TENACIOUS VENTURES DBA ALIFESTYLE,ZNZ ENTERPRISES,1,0
59,16966516.66,5655505.553,21,1844346.124, DANSK SUPERMARKED AS,AFROZE TEXTILE INDUSTRIES (PVT.) LT,3,0
60,25819411.24,3688487.32,21,1209556.526, DANSK SUPERMARKED AS,SALEEM TEXTILE,7,0
61,12980101.59,3245025.398,8,5229613.837,TERRITOIRE REDSKINS,M.S LEATER COORDINATOR,4,1
62,6843417.15,2281139.05,8,954994.2925,TERRITOIRE REDSKINS,MUSTAFA AND COMPANY PVT LTD,3,0
63,16981923.28,8490961.64,21,926897.5174,VESPO HOME TEXTILES B V,GUL AHMED TEXTILE MILLS LTD.,2,0
64,240681.44,240681.44,22,, ASANUS MEDIZINTECHNIK GMBH GERM,AZEEMI SURGICAL INSTRUMENTS,1,0
65,794282.64,794282.64,0,,TESCO INT SOURCE LTD,IMPERIAL STEEL,1,0
66,5931924.4,5931924.4,0,,TESCO INT SOURCE LTD,KLASH PVT LTD,1,0
67,44654.53,44654.53,23,,VETERINARY INSTRUMENTATION,R K Z SURGICAL PVT LTD,1,0
68,297152.37,148576.185,18,48418.74793,TA RA INNOVATIONS,DADA ENTERPRISES  PVT  LIMITED,2,0
69,838265.62,838265.62,18,,TA RA INNOVATIONS,MULTAN HIDE CO PVT LTD,1,0
70,883249.64,883249.64,0,,TESCON INTSOURCING,IMPERIAL STEEL,1,0
71,1713942.93,1713942.93,0,,TESCON INTSOURCING,KLASH PVT LTD,1,0
72,2886775.85,2886775.85,14,, ASHASONU BENIN SARL,AWAMI AGRO COMMODITIES,1,0
73,3056586.19,3056586.19,14,, ASHASONU BENIN SARL,K K RICE MILLS (PVT)LTD,1,0
74,8559489.54,2139872.385,4,742993.4679,USF COLLECTIONS INC,ASHAR INTERNATIONAL PVT LTD,4,0
75,766033.33,766033.33,4,,USF COLLECTIONS INC,K. Z. HOSIERY,1,0
