Row Labels,Sum of Amount
22," 7,812,413,596.77 "
NEWAGE CABLES PVT LTD NEW AGE HOUSE 33-K GULBERG II LAHORE," 4,101,623,755.48 "
"PAKISTAN CABLES LTD BD21, SITE KARACHI. 0515125429 PK"," 1,419,800,837.00 "
"MUTAHIR METAL WORKS PVT LTD 127/1, QUAID E-AZAM QUAID-E-AZAM INDUSTRIAL ESTATE, LAHORE."," 399,973,645.90 "
"EXIDE PAKISTAN LTD 40-K, BLOCK- 6, P E C H S, DR. MAHMOOD HUSSAIN ROAD. KARACHI."," 362,482,688.60 "
"ELLCOT SPINNING MILLS LTD. 99-B-I MM ALAM ROAD GULBURG 111 LAHORE, PAKISTAN"," 293,295,014.24 "
"CHEM.TECH.INTERNATIONAL 2A-5C-6C-VALUE ADDITION CITY, KHURIANWALA,FAISALABAD. FAISALABAD."," 237,913,463.77 "
LANDHI ENGINEERING WORKS (PVT) LTD. 15TH MILE NATIONAL HIGHWAY LANDHI KARACHI-75120 PAKISTAN. ," 231,108,734.56 "
NAGINA COTTON MILLS LTD. NAGINA HOUSE 91-B-1  M.M.ALAM ROAD LAHORE," 157,071,640.50 "
"GASCO ENGG.PVT LTD GASCO ENGINEERING PVT LTD 501, AMBER ESTATE BUILDING SHAHRAH-E-FAISAL KARACHI"," 111,946,319.17 "
"STEELEX PVT LTD. B-30-A ESTATE AVENUE, S.I.T.E. KARACHI. "," 103,811,569.54 "
PAKISTAN WIRE INDUSTR PVT LTD PLOT NO E-51 TEXTILE AVENUE KARACHI.," 83,295,417.10 "
"AL-KARAM TEXTILE MILLS (PVT.) LTD., 3rd FLOOR, K.D.L.B. BUILDING, 58 - WEST WHARF ROAD, KARACHI 74000 - PAKISTAN."," 75,080,158.43 "
"EAGLE CABLES PVT LTD. USMAN STREET OPPOSITE CHOHAN ROAD, BUND ROAD, LAHORE, PAKISTAN. "," 52,998,179.43 "
NISHAT CHUNIAN LTD 31-Q GULBURG 11 LAHORE PK," 45,571,942.87 "
"CHEMTECH PROCHIMICA INDUSTRIES PLOT NO. 6-5-2, VALUE ADDITION CITY KHURRIANWALA FAISALABAD PAKISTAN"," 29,361,371.99 "
RAFHAN MAIZE PRODUCTS CO LIMTED RAKH CANAL EAST ROAD FAISALABAD. 041-8540121-23," 27,336,557.38 "
GUJRANWALA CABLES PVT LIMITED HOUSE NO 6 STREET NO 1 CANAL VIEW HOUSING SOCIETY   GUJRANWALA GUJRANWALA," 23,031,728.11 "
"CLIMATE ENGINEERING CO. CLIMATE ENGINEERING CO. MAIN SHEIKHUPURA ROAD NEAR PSO PUMP,GUJRANWLA"," 20,212,312.46 "
"EQUITY TEXTILES LTD., 3RD FLOOR, THE COTTON EXCHANGE, I.I. CHUNDRIGAR ROAD, KARACHI - 74000, PAKISTAN."," 11,118,359.39 "
CRESCENT BAHUMAN LTD 40-A OFF ZAFAR ALI ROAD GULBERG V PK," 8,102,464.99 "
CRESCENT BAHUMAN LTD 40-A  ZAFAR ALI ROAD GULBURG V LAHORE PAKISTAN," 7,739,675.57 "
PREMIER CABLES PVT LTD   ," 5,243,680.53 "
PETROLEUM EXPLORATION PVTLTDBLOCK22   ," 2,609,282.66 "
BALUCHISTAN WHEELS LTD IST FLOOR STATE LIFE BLDG NO 3 DR  ZIAUDDIN AHMED ROAD P O  BOX NO 15511," 863,984.66 "
"BURHANI METAL MART. SHOP NO.19,PLOT W02/37, NAJMUDDIN STREET, NANAKWARA, WADHOOMAL ODHARAM, KARACHI-PAKISTAN"," 429,515.35 "
DEWAN PETROLEUM (PVT.) LIMITED 46-NAZIM-UD-DIN ROAD F-7/4 PK," 391,297.09 "
45," 4,591,973,299.36 "
"KOHINOOR SOAP & DETERGENT PVT LTD TIBET CENTRE, M.A. JINNAH ROAD, PK"," 1,851,804,793.63 "
"ABBOTT LABORATORIES (PAKISTAN) LTD. OPP, RADIO PAKISTAN TRANSMISSION CENTRE, HYDERABAD ROAD, LANDHI KARACHI PAKISTAN-75120"," 1,118,628,060.16 "
"GETZ PHARMA (PVT) LTD., 30-31/27, KORANGI INDUSTRIAL AREA, KARACHI, PAKISTAN. "," 706,593,770.89 "
"SANOFI AVENTIS PAKISTAN LIMITED., PLOT NO. 23, SECTOR NO.22, KORANGI INDUSTRIAL AREA, KARACHI-74900, PAKISTAN."," 370,241,143.97 "
"FEROZSONS LABORATORIES LIMITED P.O. FEROZSONS, AMANGARH, NOWSHERA, K.P.K., PAKISTAN. "," 158,803,379.36 "
"HIGHNOON LABORATORIES LTD 71B C-II GULBURG III LAHORE, PAKISTAN"," 107,942,098.54 "
"BROTHERS ENTERPRISE PVT LTD., 106, ANUM ESTATE, SHAHRAH-E-FAISAL, KARACHI, PAKISTAN."," 82,312,559.69 "
