Amount,Average,Community_ID,Deviation,Drawee,Exporter,Frequency,Linkage
113514338,113514338,0,,AL-KARAM TEXTILE MILLS PRIVATE,INDUS DYEING & MFG CO LTD,1,1
468079027,156026342.3,0,216385514.5,AL-KARAM TEXTILE MILLS PRIVATE,SAPPHIRE TEXTILE MILLS LIMITED,3,1
24743876,24743876,2,,SAS TEDDY SMITH,COTTON WEB LIMITED,1,1
82805586,27601862,2,33728027.68,SAS TEDDY SMITH,IJAZ APPAREL PVT LIMITED,3,0
1560000,1560000,3,,COTTON WEB LIMITED,ARTISTIC FABRIC AND GARMENT,1,0
17113992,5704664,3,1399964.649,COTTON WEB LIMITED,ARTISTIC MILLINERS PVT LTD,3,0
75185657.88,12530942.98,3,12005521.78,COTTON WEB LIMITED,AZGARD NINE LIMITED,6,0
13667224.16,6833612.08,3,989790.9886,COTTON WEB LIMITED,KOHINOOR MILLS LTD,2,0
1719080,1719080,3,,COTTON WEB LIMITED,RANTEX PRIVATE LIMITED,1,0
3484000,3484000,3,,COTTON WEB LIMITED,SAPPHIRE FIBRES LIMITED,1,1
39973182,39973182,3,,COTTON WEB LIMITED,SIDDIQSONS LIMITED,1,0
12521740,6260870,3,963263.2837,COTTON WEB LIMITED,US DENIM MILLS PVT LTD,2,0
80610940.54,2687031.351,4,1297009.266,ALLIED DISTRIBUTORS,AKZO NOBEL PAKISTAN LIMITED,30,0
9693298,2423324.5,4,203592.6901,ALLIED DISTRIBUTORS,ICI PAKISTAN LIMITED,4,0
23240519,23240519,5,,RNA RESOURCEA GROUP LTD,NOOR FATIMA FABRICS PVT LTD,1,0
8704756,4352378,5,1125142.653,RNA RESOURCEA GROUP LTD,TARIQ GLASS INDUSTRIES LIMITED,2,0
5499000,5499000,5,,NOOR FATIMA FABRICS PVT LTD,HA HAQ SPINNING MILLS PVT LTD,1,0
7913889.04,7913889.04,6,,SHAOXING BAOFENG TEXTILE AND,RELIANCE WEAVING MILLS LTD,1,0
8198647.99,8198647.99,6,,SHAOXING BAOFENG TEXTILE AND,SAPPHIRE TEXTILE MILLS LIMITED,1,1
11039946,2759986.5,5,1022145.414,SOHEL ENTERPRISE,AL SABAHAT ENTERPRISE,4,0
17391974.76,2484567.823,5,1100901.823,SOHEL ENTERPRISE,MEHAR INTERNATIONAL,7,0
3480000,3480000,5,,MEHAR INTERNATIONAL,GADOON TEXTILE MILLS LTD,1,1
59360884,4946740.333,5,324342.0117,MEHAR INTERNATIONAL,GLOBAL TEXTILE,12,0
3028200,3028200,5,,MEHAR INTERNATIONAL,TATA TEXTILE MILLS LIMITED,1,1
157985240.4,52661746.81,7,41379616.57,BANGLADESH BANK AC DIRECTORATE,PAKISTAN ORDNANCE FACTORIES,3,0
889796,889796,8,,SHARK EQUIPMENT SL,COMET SPORTS PVTLTD,1,0
866698,866698,8,,SHARK EQUIPMENT SL,RAJCO INDUSTRIES,1,0
4247000,4247000,8,,RAJCO INDUSTRIES,DIN TEXTILE MILLS LIMITED,1,1
4757200,4757200,8,,RAJCO INDUSTRIES,PAK KUWAIT TEXTILE LIMITED,1,1
55653061.27,4281004.713,4,1355640.416,ROBOD SA,M S NAZ LEATHER INDUS,13,0
16573390.82,4143347.705,4,1273515.284,ROBOD SA,NAZ LEATHER INDUSTRIES,4,0
3753143,1876571.5,3,1021313.215,SHANTA GARMENTS LTD,ARTISTIC MILLINERS PVT LTD,2,0
4495120.54,4495120.54,3,,SHANTA GARMENTS LTD,SAPHIRE FINISHING MILLS LTD,1,0
