Amount,Applicant,Average,Beneficiary,Community_ID,Deviation,Frequency,Linkage
10135594.65,ADAMJEE PLASTIC INDUSTRIES,10135594.65,LCY CHEMICAL CORP,0,,1,0
924592.59,IRFAN TRADERS,924592.59,DSM COATING RESINS BV,0,,1,0
142007700,"MAHMUD AGRO INDUSTRIES (PVT) LTD.,",47335900,AL GHURAIR RESOURCES OILS AND,0,4760108.632,3,0
150835646,"MAHMUD AGRO INDUSTRIES (PVT) LTD.,",75417823,COLUMBIA GRAIN EXPORT INC,0,1318605.654,2,0
5649571,"FAHAD CHEMICAL INDUSTRIES.,",2824785.5,BASF PETRONAS CHEMICALS SDN,0,451414.8478,2,0
1715415.4,"FAHAD CHEMICAL INDUSTRIES.,",1715415.4,DAIREN CHEMICAL CORPORATION,0,,1,0
265198675,MAPAK EDIBLE OILS (PVT) LTD.,66299668.75,FELDA PALM INDUSTRIES SDN BHD,0,244947.7495,4,0
151709241,ALI HAIDER OIL AND GHEE INDUSTRIES,25284873.5,VIRGOZ OILS AND FATS PTE LTD,0,10082934.53,6,0
4747725.91,BUILTEC PLASTIC PVT LTD.,4747725.91,LCY CHEMICAL CORP,0,,1,0
112678734.1,"MEHDI OIL INDUSTRIES (PVT) LTD.,",56339367.06,ADM INTERNATIONAL SARL GLOBAL TRADE,0,14626046.54,2,0
45709544.5,"MEHDI OIL INDUSTRIES (PVT) LTD.,",45709544.5,GLENCORE GRAIN BV,0,,1,1
979669.55,AHSAN TRADERS,979669.55,JORDAN CARBONATE CO,0,,1,0
1976911.65,AHSAN TRADERS,1976911.65,ZHENGZHOU ACETO CHEMICALS,0,,1,0
2464549.86,SILTEX INTERNATIONAL,1232274.93,INOVYN SVERIGE AB,0,0,2,0
3357611.85,SILTEX INTERNATIONAL,3357611.85,VINYTHAI PUBLIC COMPANY LIMITED,0,,1,0
971510.87,A.F AND SONS,971510.87,SHANDONG LIAOCHENG LUXI SIXTH,0,,1,0
254710422.3,"DALDA FOODS (PVT) LIMITED.,",36387203.19,ASTRAKLK PTE LTD,0,21244379,7,0
23414883,"DALDA FOODS (PVT) LIMITED.,",23414883,FELDA PALM INDUSTRIES SDN BHD,0,,1,0
21224894,"DALDA FOODS (PVT) LIMITED.,",21224894,IOI GLOBAL SERVICES SDN BHD,0,,1,0
2343006.4,HTG PETROCHEMICAL INDUSTRIES,2343006.4,INTERCONTINENTAL OILS AND FATS PTE,0,,1,0
251280570.9,HTG PETROCHEMICAL INDUSTRIES,7390605.026,SAUDI BASIC INDUSTRIES CORPORATION,0,2400688.768,34,1
114541633.4,"SHUJABAD OIL MILLS (PVT) LTD.,",114541633.4,CARGILL INTERNATIONAL TRADING PTE,0,,1,0
91134264,"SHUJABAD OIL MILLS (PVT) LTD.,",91134264,COLUMBIA GRAIN EXPORT INC,0,,1,0
1871991,NELSON PAINT INDUSTRIES (PVT),1871991,INNER MONGOLIA SANXIN KAOLIN CO,0,,1,0
12911935,NELSON PAINT INDUSTRIES (PVT),12911935,SHANDONG JINHAI TITANIUM,0,,1,0
32164038.74,"ASHRAF INDUSTRIES (PVT) LTD.,",16082019.37,FGV TRADING SDN BHD,0,3328303.889,2,0
17699912,"ASHRAF INDUSTRIES (PVT) LTD.,",17699912,GOLDEN AGRI INTERNATIONAL PTE LTD,0,,1,0
35977777.19,"ASHRAF INDUSTRIES (PVT) LTD.,",17988888.6,INTERCONTINENTAL OILS AND FATS PTE,0,15586.62043,2,0
44249778,"ASHRAF INDUSTRIES (PVT) LTD.,",22124889,VIRGOZ OILS AND FATS PTE LTD,0,0,2,0
2159989,NOVA CHEM,2159989,HANGZHOU HITECH FINE CHEMICAL,0,,1,0
5795111.19,NOVA CHEM,2897555.595,INEOS EUROPE AG,0,365269.3085,2,0
1430907.48,NOVA CHEM,1430907.48,TOC GLYCOL COMPANY LIMITED,0,,1,0
3050092.26,"QUETTA TEXTILE MILLS LIMITED.,",3050092.26,MARUBENI ASEAN PTE LTD,0,,1,0
3660947.5,"QUETTA TEXTILE MILLS LIMITED.,",3660947.5,PETROCHEM AND POLYMERS CO,0,,1,0
1092758.95,"QUETTA TEXTILE MILLS LIMITED.,",1092758.95,RIETER INGOLSTADT GMBH,0,,1,0
