Community_ID,Drawee,Exporter,Frequency,Linkage,Amount,Average,Deviation
0,ALBERT KERBL GMBH,INDUS GLOVES,2,0,739775.62,369887.81,93576.2204
0,ALBERT KERBL GMBH,SCIMITAR INTERNATIONAL,10,0,49515092.56,4951509.256,3336610.945
0,VIJAY INTERNATIONAL,AWAIS & CO,1,0,314463.6,314463.6,
0,VIJAY INTERNATIONAL,FIVE STARS INTERNATIONAL,1,0,737207.5,737207.5,
0,NATIONAL WESTMINSTER BANK PLC,M S SOUTH ASIAN TEXTILE INDUSTRIES,1,0,1801803.75,1801803.75,
0,NATIONAL WESTMINSTER BANK PLC,VITAL PVT LTD,1,0,316035.92,316035.92,
0,GARG MINCHEM PRODUCTS,EMCON ENTERPRISES,1,0,122242.48,122242.48,
0,GARG MINCHEM PRODUCTS,IMPERIAL STEEL,1,0,473538.16,473538.16,
0,GLOBASUS LIMITED,NADIR & COMPANY,1,1,568864.65,568864.65,
0,GLOBASUS LIMITED,VITAL PVT LTD,5,0,34594685.7,6918937.14,907598.6186
0,MOHINDRA SALES,AWAN TRADERS,1,0,471066.47,471066.47,
0,MOHINDRA SALES,IMPERIAL STEEL,6,0,2316847.27,386141.2117,239727.5052
0,JUBA PERSONAL PROTECTIVE EQUIPMENT,LIBER MANN INTERNATIONAL,1,0,591663.26,591663.26,
0,JUBA PERSONAL PROTECTIVE EQUIPMENT,VITAL PVT LTD,2,0,402356.18,201178.09,229511.8988
0,LIME CHEMICALS LTD,EMCON ENTERPRISES,1,0,121320.06,121320.06,
0,LIME CHEMICALS LTD,IMPERIAL STEEL,34,0,36342569.79,1068899.111,520391.2686
0,GULSHAN TRADERS,GLAMOUR TRADING CO,6,0,29562090.96,4927015.16,2167739.141
0,GULSHAN TRADERS,M/S GNS ENTERPRISE,1,0,1356897.86,1356897.86,
0,GTL ENGLAND,RISTEK INSTRUMENT,1,0,99522.49,99522.49,
0,GTL ENGLAND,VITAL PVT LTD,16,0,72173343.76,4510833.985,3718182.211
0,HELMUT FELDTMANN GMBH,INDUS GLOVES,3,0,8028308.12,2676102.707,442823.8798
0,HELMUT FELDTMANN GMBH,VITAL PVT LTD,11,0,55188215.05,5017110.459,1958894.675
0,CARIPARMA,HBR TEXTILE INDUSTRIES,8,0,15512843.43,1939105.429,970699.4373
0,CARIPARMA,M S SOUTH ASIAN TEXTILE INDUSTRIES,1,0,1534162.97,1534162.97,
0,SKYDDA PROTECTING PEOPLE,SCIMITAR INTERNATIONAL,101,0,424114032.3,4199148.835,3502259.538
0,SUNSHINE & RETAIL NETHERLAND,HBR TEXTILE INDUSTRIES,2,0,18287031.99,9143515.995,4924154.537
0,SUNSHINE & RETAIL NETHERLAND,M S SOUTH ASIAN TEXTILE INDUSTRIES,3,0,22956689.56,7652229.853,2530456.803
0,BEDI EXPORT LTD,GLOBAL TRADING SERVICES,10,0,2272772.05,227277.205,112526.7436
0,BEDI EXPORT LTD,IDEAL ENTERPRISES N GEN.ORDER.SUPP.,1,0,4035616.2,4035616.2,
0,RANDHAWA GLOBAL,AWAN TRADERS,1,0,128930.08,128930.08,
0,PRSTON INNOVATIONS,A.A.ASSAC AND COMPANY PVT LTD,2,0,2353188.78,1176594.39,649737.709
0,PRSTON INNOVATIONS,M S SOUTH ASIAN TEXTILE INDUSTRIES,1,0,1133155.15,1133155.15,
