Amount,Applicant,Average,Beneficiary,Community_ID,Deviation,Frequency,Linkage
11622050.55,WAK LIMITED WAK LIMITED 135 E/1 STADIUM ROAD GULBERG III LAHORE,5811025.275,SAMSUNG GULF ELECTRONICS FZE POBOX 61247 JEBEL ALI FREE ZONE ,0,5994437.315,2,0
5572294.99,"MALIK AUTO AND AGRICULTURAL IND. (PVT.) LTD., 80 - BADAMI BAGH, P.O.BOX 465, LAHORE - PAKISTAN.",5572294.99,ESSA HAMZA TRADING LLC PO BOX 86851 AL AWEER DUBAI UAE ,1,,1,0
14000820.93,MBI INDUSTRIES (PVT) LTD. A-51 S.I.T.E. KARACHI - PAKISTAN ,4666940.31,CHINA GLORY ENTERPRISE LIMITED14F  ,2,20701.97681,3,0
22771461.26,"YAHOO COMPUTER FALT # 02,2ND FLOOR, SAMEN ARCAD,1-J, GULBERG 3,LAHORE.",7590487.087,LONDON SILK GENERAL TRADING (Multiple),3,4292174.664,3,0
5288980.06,"YAHOO COMPUTER FALT # 02,2ND FLOOR, SAMEN ARCAD,1-J, GULBERG 3,LAHORE.",5288980.06,NEW PROSPECT GENERAL TRADING LLC UAE ,3,,1,0
1100098.49,XTREME VISION HOUSE NO 7 A STREET NO 33 SECTOR F 8/1 ISLAMABAD,550049.245,Z S ORIENT TRADING COMPANY LIMITED 9F B1 MIRADOR MANSION 5464A NATHAN RD TSIMSHATSUI KOWLOON HONGKONG CHINA,4,259789.8364,2,0
1805021.06,"YASIR ENTERPRISE., 6, SAQIB CENTRE, BLOCK-7, GULSHAN-E-IQBAL, KARACHI, PAKISTAN.",902510.53,IMERYS MINERAL CALIFORNIA INC 2500 SAN MIGUELITO ROAD LOMPOC CA 93436 US,5,0,2,0
3337590.86,MASH WAX AND PETROLEUM PRODUCTS PLOT NO 2-C 3RD FLOOR AZEEM AVENUE 13TH COMM LANE BUKHARI COMM DHA PHASE-6 KARACHI,667518.172,JIANGSU RUNTAI SEALANT INDUSTRY CO LTD NO 100 SIZHA ROAD YANGSHE TOWN ZHANGJIAGANG CITY JIANGSU 215638 CHINA,6,273208.7499,5,0
5435029.53,WASEEM STAINLESS STEEL TRADERS H NO 252 ST NO 13 SECTOR D ASKARI X LAHORE ,2717514.765,LISHUI FUJI IMPORT AND EXPORT CO LTD NO11 TIANNING INDUSTRIAL AREA LISHUI ZHEJIANG CHINA ,7,19361.56655,2,0
28061735.86,WELL PRODUCTS INDUSTRIES MOHALLAH RANG PURA NAIABADI 5/1 SIALKOT,3117970.651,NORMAN TECH ENTERPRISES CO LTD 4 FLOOR NO26 YUNG AN STREET YUAN HO CITY TAIPEI TAIWAN ,8,937279.4698,9,0
